a,b,c,d
10,0,0,175.3328142604
10,0,0.150154154154154,177.261115620999
10,0,0.300308308308308,179.396913165963
10,0,0.450462462462462,181.669947575331
10,0,0.600616616616617,184.012062714843
10,0,0.750770770770771,186.355744181057
10,0,0.900924924924925,188.633920326302
10,0,1.05107907907908,190.780709025877
10,0,1.20123323323323,192.732824210353
10,0,1.35138738738739,194.431386944906
10,0,1.50154154154154,195.823916597298
10,0,1.6516956956957,196.866308395584
10,0,1.80184984984985,197.524634436337
10,0,1.952004004004,197.776635963548
10,0,2.10215815815816,197.612805498049
10,0,2.25231231231231,197.0369881568
10,0,2.40246646646647,196.066462260847
10,0,2.55262062062062,194.731490090535
10,0,2.70277477477477,193.074360405876
10,0,2.85292892892893,191.147975109592
10,0,3.00308308308308,189.014063189965
10,0,3.15323723723724,186.720485311756
10,0,3.30339139139139,183.906153277106
10,0,3.45354554554555,181.132135480021
10,0,3.6036996996997,178.489471972687
10,0,3.75385385385385,180.392508047611
10,0,3.90400800800801,182.480950772734
10,0,4.05416216216216,184.607599099404
10,0,4.20431631631632,186.745093649091
10,0,4.35447047047047,188.723983609193
10,0,4.50462462462462,190.527105218491
10,0,4.65477877877878,192.154172420041
10,0,4.80493293293293,193.425914464493
10,0,4.95508708708709,194.304792511279
10,0,5.10524124124124,194.765947273846
10,0,5.2553953953954,194.798323744807
10,0,5.40554954954955,194.405288457018
10,0,5.5557037037037,193.604690504121
10,0,5.70585785785786,192.428358971931
10,0,5.85601201201201,190.921070859888
10,0,6.00616616616617,189.139064999711
10,0,6.15632032032032,187.148218906169
10,0,6.30647447447447,185.022046922819
10,0,6.45662862862863,182.839719453368
10,0,6.60678278278278,182.825447720329
10,0,6.75693693693694,183.35128503201
10,0,6.90709109109109,183.687102881143
10,0,7.05724524524525,183.817115428525
10,0,7.2073993993994,183.734858241102
10,0,7.35755355355355,185.678367349984
10,0,7.50770770770771,187.671610690578
10,0,7.65786186186186,189.347922399487
10,0,7.80801601601602,190.664526159108
10,0,7.95817017017017,191.591637275661
10,0,8.10832432432432,192.11334103485
10,0,8.25847847847848,192.227844583374
10,0,8.40863263263263,191.597810765848
10,0,8.55878678678679,190.610457268609
10,0,8.70894094094094,189.346402939135
10,0,8.8590950950951,187.884178195914
10,0,9.00924924924925,187.496862359066
10,0,9.1594034034034,187.031389374787
10,0,9.30955755755756,186.416650528088
10,0,9.45971171171171,185.668041032661
10,0,9.60986586586587,185.183883033063
10,0,9.76002002002002,184.540698050784
10,0,9.91017417417417,185.773183242798
10,0,10.0603283283283,186.983888178945
10,0,10.2104824824825,187.894988966645
10,0,10.3606366366366,188.471933386459
10,0,10.5107907907908,188.692736062921
10,0,10.6609449449449,188.548893345225
10,0,10.8110990990991,188.045601228905
10,0,10.9612532532533,187.201284591006
10,0,11.1114074074074,186.046498608276
10,0,11.2615615615616,184.622315826082
10,0,11.4117157157157,183.434214685992
10,0,11.5618698698699,184.033995678185
10,0,11.712024024024,185.273564388251
10,0,11.8621781781782,186.775574341146
10,0,12.0123323323323,188.181647596782
10,0,12.1624864864865,189.446721284787
10,0,12.3126406406406,190.530365841898
10,0,12.4627947947948,191.397880369258
10,0,12.6129489489489,192.021331123716
10,0,12.7631031031031,192.380453851668
10,0,12.9132572572573,192.463356866682
10,0,13.0634114114114,192.266977963995
10,0,13.2135655655656,191.796010841157
10,0,13.3637197197197,191.003693467296
10,0,13.5138738738739,189.976547836997
10,0,13.664028028028,188.763301918276
10,0,13.8141821821822,187.362741493719
10,0,13.9643363363363,185.816278633753
10,0,14.1144904904905,184.175512283469
10,0,14.2646446446446,182.495761827592
10,0,14.4147987987988,181.836048976529
10,0,14.564952952953,182.168254728421
10,0,14.7151071071071,184.245384041763
10,0,14.8652612612613,186.382672383398
10,0,15.0154154154154,188.29538340942
10,0,15.1655695695696,189.84176246915
10,0,15.3157237237237,190.972241413907
10,0,15.4658778778779,191.652349836413
10,0,15.616032032032,191.864740715632
10,0,15.7661861861862,191.610360759601
10,0,15.9163403403403,190.90864972593
10,0,16.0664944944945,189.805774085408
10,0,16.2166486486486,188.357986297862
10,0,16.3668028028028,186.628914420959
